Title: Decisions

URL Source: https://www.asbca.mil/Decisions/

Markdown Content:
| Decision Date | ASBCA Number | Appellant/Petitioner | Judge |
| --- | --- | --- | --- |
| September |  |  |  |
| January 13, 2016 | 58220 | Optex Systems, Inc. | O'Sullivan |
| January 12, 2016 | 58479, 58480, 58481, 58482, 58483, 58486, 58487, 58488 | Vistas Construction of Illinois, Inc. | O'Connell |
| January 12, 2016 | 58172 | Relyant, LLC | Prouty |
| January 11, 2016 | 59000 | ANHAM FZCO, LLC | Thrasher |
| January 11, 2016 | 59260, 59482, 59483 | Tetra Tech EC, Inc. | Thrasher |
| January 11, 2016 | 58864 | Edinburgh International | Thrasher |
| January 11, 2016 | 58809 | BAE Systems San Francisco Ship Repair | Ting |
| January 8, 2016 | 59063 | Baghdadi Swords Company | Stempler |
| January 7, 2016 | 58372 | Jeffrey C. Stone Inc., d.b.a. Summit Builders | Scott |
| January 7, 2016 | 59588 | Exelis Federal Services GmbH | Scott |
| January 7, 2016 | 59320, 59651 | K-Con, Inc. | Newsom |
| January 7, 2016 | 59752 | Patriot Construction, Inc. | Newsom |
| January 7, 2016 | 60247 | Fardaye Roshan Logistics & Supply Company | Newsom |
| January 6, 2016 | 59916 | Shafi Nasimi Construction and Logistics Company | Delman |
| January 5, 2016 | 58617 | The Boeing Company | Younger |
| January 5, 2016 | 60123 | Strobe Data, Inc. | Delman |
| January 4, 2016 | 58974 | The Boeing Company | Stempler |
| January 4, 2016 | 58948 | AMEC Environment & Infrastructure, Inc. | O'Connell |
| January 4, 2016 | 59611 | The Boeing Company | Stempler |

| Decision Date | ASBCA Number | Appellant/Petitioner | Judge |
| --- | --- | --- | --- |
| December |  |  |  |
| December 30, 2015 | 59078 | Lawn Legends LLC | McIlmail |
| December 29, 2015 | 58579 | Soluciones Especializadas de Transporte S.A. | Melnick |
| December 22, 2015 | 60117 | Xerox Corporation | Stempler |
| December 22, 2015 | 59700 | First Transit, Inc. | Stempler |
| December 18, 2015 | 59445 | Soap Creek Marina, LLC | Delman |
| December 18, 2015 | 60031 | EMTA Insaat A.S. | Delman |
| December 17, 2015 | 59421, 59628, 59631, 59741, 59742, 59854, 59855, 59874, 59875, 60298 | Williams Building Company, Inc. | O'Sullivan |
| December 16, 2015 | 60039 | Cabrera Services, Inc. | Stempler |
| December 16, 2015 | 58949 | Alliant Techsystems, Inc. | O'Sullivan |
| December 15, 2015 | 57201, 58166 | Nelson, Inc. | Peacock |
| December 15, 2015 | 59816 | Alnawars Company | Stempler |
| December 15, 2015 | 59991, 59992 | Brunow Contracting, LLC | Scott |
| December 15, 2015 | 57675, 57806, 58149, 58150, 58151, 58174 | Dick Pacific Construction Co., Ltd. | Clarke |
| December 10, 2015 | 60254 | Road & Roof Construction Company | Stempler |
| December 9, 2015 | 59527 | Diversified Construction of Oklahoma | Thrasher |
| December 8, 2015 | 58028, 58794 | Lockheed Martin Services, Inc. | Clarke |
| December 8, 2015 | 60154 | Melwood Horticultural Training Center, Inc. | Stempler |
| December 3, 2015 | 59352 | Meltech/W.M. Schlosser LLC BJV | Paul |
| December 1, 2015 | 59985 | Lanterra, LLC | Hartman |
| November |  |  |  |
| November 24, 2015 | 59858 | The Boeing Company | Stempler |
| November 24, 2015 | 59937 | Sparta Inc. | Stempler |
| November 24, 2015 | 59807, 59808 | General Dynamics Information Technology, Inc. | Stempler |
| November 24, 2015 | 59804 | The Boeing Company | Stempler |
| November 24, 2015 | 59831 | L-3 Communications Corporation | Stempler |
| November 20, 2015 | 59650 | Teledyne Brown Engineering, Inc. | Stempler |
| November 19, 2015 | 59720 | PDI-HSW Joint Venture | McIlmail |
| November 19, 2015 | 58731, 58732 | Terraseis Trading Limited | McIlmail |
| November 18, 2015 | 59579 | The Boeing Company | Stempler |
| November 18, 2015 | 59528 | Laser Operations LLC | Stempler |
| November 18, 2015 | 59722 | Caddell Yates Joint Venture | Melnick |
| November 18, 2015 | 60317 | Raydon Corporation | Gardin |
| November 18, 2015 | 59940, 59941, 59942 | Pratt & Whitney, a division of United Technologies Corporation | Stempler |
| November 17, 2015 | 59978 | Military Aircraft Parts | Clarke |
| November 16, 2015 | 59665 | International Automotriz | Newsom |
| November 12, 2015 | 58819 | 554 Bloomfield LLC | Stempler |
| November 10, 2015 | 59996 | Global Energy U.S.-DLA Acquisitions LLC | Stempler |
| November 10, 2015 | 59368 | Fluor Enterprises, Inc. | Stempler |
| November 10, 2015 | 58992 | Alion Science and Technology Corporation | Melnick |
| November 9, 2015 | 59211 | Chloeta Fire, LLC | Thrasher |
| November 5, 2015 | 58995 | Lean Construction and Engineering Co. | Paul |
| November 5, 2015 | 60174 | Redstick, Inc. | Stempler |
| November 5, 2015 | 60272 | Better Built Construction Services Inc. | Stempler |
| November 5, 2015 | 59767 | Korte-Fusco Joint Venture | O'Connell |
| November 4, 2015 | 60034, 60035 | Art Anderson Associates | Delman |
| November 4, 2015 | 59868 | Ahjar Shat Alarab Albidhaa Co. | Delman |
| November 4, 2015 | 59703 | Northrop Grumman Corporation | Stempler |
| November 4, 2015 | 59695 | L-3 Communications Integrated Systems, L.P. | Stempler |
| November 4, 2015 | 59535, 59560, 59904, 59905 | JCI International, Inc. | Stempler |
| November 4, 2015 | 59116 | Precision Standard, Inc. | Hartman |
| November 4, 2015 | 58912 | Parsons Government Services, Inc. | Stempler |
| November 4, 2015 | 58840 | LDV, Inc. | Stempler |
| November 3, 2015 | 59923 | Hempt Bros., Inc. | McIlmail |
| November 3, 2015 | 59564 | Pratt & Whitney, a division of United Technologies Corporation | Stempler |
| October |  |  |  |
| October 29, 2015 | 59317, 59853 | Weatherford Group, Inc. | Newsom |
| October 26, 2015 | 59926, 59927, 59928, 59929, 59930, 59931 | MGC Roofing and Construction, Inc. | Thrasher |
| October 26, 2015 | 59324 | Purnell Construction Co., LLC | Thrasher |
| October 22, 2015 | 60082 | Southeastern Computer Consultants, Inc. | Stempler |
| October 22, 2015 | 60085 | Progeny Systems Corporation | Stempler |
| October 22, 2015 | 59892 | Palco Distributing, LLC | Paul |
| October 22, 2015 | 59843 | Air Services, Inc. | Melnick |
| October 22, 2015 | 59031 | ECCI-C Metag, JV | Dickinson |
| October 21, 2015 | 60102 | Safeco Insurance Company of America | Stempler |
| October 21, 2015 | 60010, 60011 | Aurora Flight Sciences Corporation | Stempler |
| October 21, 2015 | 59984 | AT&T Corp. | Stempler |
| October 21, 2015 | 59889 | L&M Electric & Plumbing, LLC | Stempler |
| October 21, 2015 | 59637 | Matcon Diamond, Inc. | Younger |
| October 21, 2015 | 59555 | Church Creek Mobile Home Community | Stempler |
| October 21, 2015 | 59315, 59316, 59851, 59852 | Weatherford Group, Inc. | Newsom |
| October 20, 2015 | 60027 | DynCorp International LLC | Stempler |
| October 20, 2015 | 59797 | Pros Cleaners | Wilson |
| October 20, 2015 | 56370, 56371, 56911, 56913, 57176, 57177, 57178, 57179, 57180, 57182, 57183, 57184, 57185, 57186, 57188, 57190, 57191, 57212, 57213, 57214, 57215, 57216, 57217, 57218, 57222, 57223 | M.E.S., Inc. | Stempler |
| October 15, 2015 | 59657 | Hewlett-Packard Company | Shackleford |
| October 14, 2015 | 58867 | Avant Assessment, LLC | McIlmail |
| October 8, 2015 | 59825 | Mandaree Enterprise Corporation | Stempler |
| October 8, 2015 | 59613, 59614 | Bahram Malikzada Construction Co. | Younger |
| October 8, 2015 | 59133 | Capy Machine Shop, Inc. | Tunks |
| October 8, 2015 | 59085 | Capy Machine Shop, Inc. | Tunks |
| October 8, 2015 | 58306 | United Technologies Corp. | Stempler |
| October 8, 2015 | 58604, 58739, 58740, 58741 | Advanced Constructors International, LLC | Tunks |
| October 8, 2015 | 58756 | Tug Hill Construction, Inc. | Ting |
| October 6, 2015 | 59225 | BAE Systems Inc. | Stempler |
| October 5, 2015 | 58871 | Environmental Chemical Corporation | McIlmail |
| October 5, 2015 | 58648, 58649, 58650, 58651 | Areebel Engineering & Logistics | Tunks |
| September |  |  |  |
| September 30, 2015 | 60119 | DynPort Vaccine Company LLC | Hartman |
| September 30, 2015 | 59511, 59513 | TTF, LLC | O'Sullivan |
| September 29, 2015 | 60071 | Pro-Built Construction Firm | Stempler |
| September 29, 2015 | 60122 | EDC Consulting, LLC | Stempler |
| September 29, 2015 | 59911, 59912 | MicroTechnologies, LLC | Melnick |
| September 24, 2015 | 59729 | New Cingular Wireless Services, Inc. dba AT&T Mobility | Delman |
| September 24, 2015 | 60147 | Analytic Services Inc. | Stempler |
| September 24, 2015 | 60160 | ANSOL, Inc. | O'Sullivan |
| September 24, 2015 | 59199 | Fidelity and Deposit Company of Maryland, Federal Insurance Company, and Liberty Mutual Insurance Company | Wilson |
| September 24, 2015 | 58164, 58770, 58962, 58963, 58964, 58965 | CH2M Hill Constructors, Inc. | Wilson |
| September 24, 2015 | 57779 | Honeywell International, Inc. | Melnick |
| September 23, 2015 | 59634 | United Launch Services, LLC and United Launch Alliance, LLC | Stempler |
| September 23, 2015 | 59550 | Digibeam Corporation | Stempler |
| September 23, 2015 | 60029 | W.M. Jordan Company, Inc. | Stempler |
| September 23, 2015 | 58696, 59151 | AISG, Inc. | Dickinson |
| September 22, 2015 | 57796, 57888 | Garco Construction, Inc. | Clarke |
| September 21, 2015 | 58213 | Kuwait Leaders General Trading | Hartman |
| September 21, 2015 | 58352 | Automotive Management Services FZE | Melnick |
| September 18, 2015 | 59890 | United Power Systems, Inc. | Stempler |
| September 17, 2015 | 60052 | Multi-Dimensional Imaging, Inc. | Stempler |
| September 17, 2015 | 58372 | Jeffrey C. Stone Inc., d.b.a. Summit Builders | Scott |
| September 16, 2015 | 58510, 58511, 58771, 59019, 59245 | Time Engineering and Construction Co., Ltd. | Wilson |
| September 16, 2015 | 59561 | Bell Helicopter Textron Inc. and The Boeing Company | O'Connell |
| September 15, 2015 | 60062 | Molly Jessie Company | Stempler |
| September 15, 2015 | 59129 | IMGC Global (PVT) Ltd. | Hartman |
| September 14, 2015 | 58871 | Environmental Chemical Corporation | McIlmail |
| September 14, 2015 | 58850, 59201 | Fluor Corporation | O'Sullivan |
| September 10, 2015 | 58752 | Optimization Consulting, Inc. | Newsom |
| September 9, 2015 | 59806 | DMJM H&N Inc., d/b/a AECOM Technical Services | Stempler |
| September 9, 2015 | 58760 | Suh'dutsing Technologies, LLC | O'Sullivan |
| September 3, 2015 | 59259 | Freedom Systems, LLC | Thrasher |
| September 3, 2015 | 59258 | Raytheon Missile Systems Company | Clarke |
| September 3, 2015 | 59237, 59238 | Collette Contracting, Inc. | Newsom |
| September 2, 2015 | 60012 | Contrack International, Inc. | Stempler |
| September 2, 2015 | 59734 | Gilford Corporation | Stempler |
| September 2, 2015 | 59378 | Speegle Construction, Inc. | Dickinson |
| September 1, 2015 | 58067 | Balfour/S&P Two, A Joint Venture | Wilson |
| September 1, 2015 | 60013 | Timken Aerospace Transmissions, LLC | Stempler |
| September 1, 2015 | 60055 | Weeks Marine, Inc. | Stempler |
| September 1, 2015 | 60087 | 4T&M Co., Inc., f/k/a Islip Transformer and Metal Co., Inc. | Stempler |
| September 1, 2015 | 59978 | Military Aircraft Parts | Clarke |
| September 1, 2015 | 59775 | Subsurface Technologies | Melnick |
| September 1, 2015 | 59593 | The Boeing Company | Stempler |
| September 1, 2015 | 59557 | Kellogg Brown & Root Services, Inc. | O'Sullivan |
| September 1, 2015 | 59462 | Development & Evolution Construction Co. | Tunks |
| September 1, 2015 | 59300 | Marine Terminals Corporation d/b/a Ports America | Scott |
| September 1, 2015 | 58868 | Hashmat Khalil Rezai Road & Construction Comany | Tunks |
| September 1, 2015 | 58343 | Environmental Safety Consultants, Inc. | Stempler |
| August |  |  |  |
| August 27, 2015 | 59524 | CDM Constructors, Inc. | McIlmail |
| August 27, 2015 | 59770, 59908 | Nationview/Bhate JV III, LLC | Ting |
| August 27, 2015 | 59388 | Custom Mechanical Systems, Corp. | Page |
| August 27, 2015 | 58989, 58990, 59635, 59646 | Vertex Construction & Engineering | Younger |
| August 26, 2015 | 56987, 56988, 56989, 56990, 56991, 56992, 56993, 56994, 56995, 56996, 56998, 56999, 57000 | Thorington Electrical and Construction Company | Delman |
| August 26, 2015 | 59721 | Gibbs & Cox, Inc. | O'Sullivan |
| August 25, 2015 | 60088 | SSI Technology, Inc. | Stempler |
| August 25, 2015 | 59999 | QuarterLine Consulting Services, LLC | Stempler |
| August 24, 2015 | 59426 | Optical Sciences Company | Peacock |
| August 20, 2015 | 59822 | Big Iraqi Company | Delman |
| August 20, 2015 | 58534 | PAW & Associates, LLC | James |
| August 20, 2015 | 57985 | Homeland Security Construction Corporation | Peacock |
| August 19, 2015 | 59812 | Transdev Services, Inc. | Stempler |
| August 19, 2015 | 59603 | Frontier Electronic Systems Corporation | Stempler |
| August 19, 2015 | 59585, 59971 | Smiths Detection Inc. | Stempler |
| August 18, 2015 | 59782 | Afghanistan Trade Transportation Co., Ltd. | Hartman |
| August 18, 2015 | 59445 | Soap Creek Marina, LLC | Delman |
| August 18, 2015 | 58175 | Kellogg Brown & Root Services, Inc. | Scott |
| August 17, 2015 | 59386, 59774 | Herai Alpha Construction Consultancy and Engineering Company | Delman |
| August 17, 2015 | 57681 | DayDanyon Corporation | James |
| August 14, 2015 | 57803 | Raytheon Company, Space and Airborne Systems | O'Connell |
| August 13, 2015 | 60018 | EPC Service, Inc. | Stempler |
| August 13, 2015 | 59357, 59358 | Kellogg Brown & Root Services, Inc. | Delman |
| August 13, 2015 | 59297 | Symetrics Industries, LLC | McIlmail |
| August 12, 2015 | 59955 | UNICOM Government, Inc. | Stempler |
| August 12, 2015 | 59298 | DynPort Vaccine Company LLC | James |
| August 12, 2015 | 59181 | Iron Bow Technologies, LLC | McIlmail |
| August 12, 2015 | 58782 | Certified Construction Company of Kentucky, LLC | Page |
| August 11, 2015 | 59680 | Dream Management, Inc. | Stempler |
| August 11, 2015 | 59376 | Afghan American Army Services Corporation | Stempler |
| August 11, 2015 | 58867 | Avant Assessment, LLC | McIlmail |
| August 6, 2015 | 59663 | Alliance Roofing & Sheet Metal, Inc. | Melnick |
| August 5, 2015 | 59764, 59765 | Thermo Scientific Portable Analytical Instruments Inc. f/k/a Ahura Scientific, Inc. | Stempler |
| August 5, 2015 | 56022 | The Public Warehousing Company | Ting |
| August 3, 2015 | 59592 | Magnum Inc. | Stempler |
| August 3, 2015 | 59479 | Engineered Machined Products, Inc. | Stempler |
| July |  |  |  |
| July 29, 2015 | 58493, 58877 | Al Arrab Contracting Co. Ltd. | Peacock |
| July 29, 2015 | 58908 | Northrop Grumman Corporation | Stempler |
| July 28, 2015 | 59406, 59407 | Agile RF, Inc. | Newsom |
| July 23, 2015 | 59679 | Amwaj Al-Sahel Company | Stempler |
| July 23, 2015 | 59305, 59306, 59307, 59308, 59309, 59310 | VLOX, LLC | McIlmail |
| July 23, 2015 | 59104 | Synkera Technologies, Inc. | Ting |
| July 21, 2015 | 59668 | Venable Industries | Younger |
| July 21, 2015 | 59494 | CDM/Filanc JV | Peacock |
| July 21, 2015 | 59034, 59035, 59326, 59327 | Raito, Inc. | Peacock |
| July 20, 2015 | 59965 | MACNAK Korte Team LLC | McIlmail |
| July 14, 2015 | 59732 | Saab Defense and Security USA LLC, f/k/a Saab Training USA LLC | Stempler |
| July 14, 2015 | 59591 | 5 Star Forestry, LLC | McIlmail |
| July 14, 2015 | 59723 | Habermehl Consulting and Company | Stempler |
| July 14, 2015 | 59244 | DynCorp International LLC | O'Connell |
| July 14, 2015 | 59582 | The Boeing Company | Stempler |
| July 14, 2015 | 58727, 58728 | LRV Environmental, Inc. | Hartman |
| July 13, 2015 | 59758, 59759, 59760, 59761 | Booz Allen Hamilton, Inc. | Stempler |
| July 13, 2015 | 59746, 59818 | Highland Al Hujaz Co., Ltd. | Thrasher |
| July 13, 2015 | 59132 | GMR Research and Technology, Inc. | Scott |
| July 13, 2015 | 59116 | Precision Standard, Inc. | Hartman |
| July 9, 2015 | 59617 | AECOM Technical Services | Stempler |
| July 9, 2015 | 58496, 58747, 58748 | GSC Construction, Inc. | Peacock |
| July 8, 2015 | 59769 | DRS Tactical Systems, Inc. | Stempler |
| July 8, 2015 | 60021 | Northstar Engineering Corporation | Stempler |
| July 8, 2015 | 59898 | KKOT Associates, LLC | Stempler |
| July 8, 2015 | 59869 | KKOT Associates, LLC | Stempler |
| July 8, 2015 | 59526 | Enola Contracting Services, Inc. | McIlmail |
| July 8, 2015 | 58671, 59291 | Ensign-Bickford Aerospace & Defense Company | McIlmail |
| July 8, 2015 | 58491 | CP of Bozeman, Inc. | Clarke |
| July 8, 2015 | 57269 | ASFA Construction Industry and Trade, Inc. | Page |
| July 7, 2015 | 58664 | G-W Management Services, LLC | Newsom |
| July 6, 2015 | 59597 | The POM Group, Inc. | Stempler |
| July 6, 2015 | 59563 | Lockheed Martin Corporation | Stempler |
| July 1, 2015 | 58575 | Circle, LLC | Scott |
| July 1, 2015 | 58637 | WorldWide Language Resources, Inc. | Younger |
| July 1, 2015 | 59699 | COSTAR III, LLC | Clarke |
| July 1, 2015 | 59790 | Exelis Advanced Engineering Services | Stempler |
| June |  |  |  |
| June 30, 2015 | 59979 | Alfajer, Ltd. | O'Connell |
| June 29, 2015 | 59522 | Kiewit Building Group Inc. | Thrasher |
| June 26, 2015 | 57576, 57679, 58290 | Raytheon Company | Delman |
| June 26, 2015 | 59947 | Asia Countries Co. W.L.L. | Stempler |
| June 25, 2015 | 58083 | World Fuel Services (Singapore) PTE, Ltd. | Thrasher |
| June 23, 2015 | 59974 | Saturn Landscape Plus, Inc. | Stempler |
| June 23, 2015 | 59833, 59834, 59835 | ServiceSource, Inc. | Stempler |
| June 23, 2015 | 59607 | Stanley Associates, Inc. | Stempler |
| June 23, 2015 | 59178 | Lobar, Inc. | Ting |
| June 22, 2015 | 58294, 58681 | Walbridge Aldinger Company | Dickinson |
| June 22, 2015 | 59805 | Southeast Technical Services, Inc. | Stempler |
| June 22, 2015 | 59155 | Unity Logistics and Supply Services | Newsom |
| June 18, 2015 | 58760 | Suh'dutsing Technologies, LLC | O'Sullivan |
| June 18, 2015 | 59354 | Smart Construction & Engineering Co. | McIlmail |
| June 17, 2015 | 59485 | Carro & Carro Enterprises, Inc. | Hartman |
| June 17, 2015 | 58014, 58058 | Blane International Group, Inc. | O'Connell |
| June 16, 2015 | 58565 | Linc Government Services, LLC | James |
| June 16, 2015 | 56479 | COSTAR III, LLC | Clarke |
| June 16, 2015 | 58852 | ESCgov, Inc. | Younger |
| June 16, 2015 | 58167 | Tri-County Contractors, Inc. | James |
| June 11, 2015 | 59893 | Allison Transmission, Inc. | Stempler |
| June 11, 2015 | 59534 | Allison Transmission, Inc. | Stempler |
| June 10, 2015 | 58355 | CCIE & Co. | Melnick |
| June 10, 2015 | 59107 | Gazal Logistics Services & Warehousing | Ting |
| June 9, 2015 | 58277, 58641, 58642 | General Dynamics C4 Systems, Inc. | Melnick |
| June 8, 2015 | 59772 | BAV, a Division of VSE Corp. | Stempler |
